,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
Ch11,-0.1496261035769089,0.3593409822685011,-0.07104201413422762,0.08570852641062335,0.008059192685765413,-0.0859595907424693,-0.27490442299759754,0.0837416051137024,0.25184903460386804,0.2864854862850269,0.13106753044626268,-0.24149699063264196,0.17220767153810573,0.3197059203973925,0.04782920377644238,-0.09894899354804942,0.15027166921795287,-0.10906834060203023,0.1766904470827223,0.09671112026613209,-0.019812477780061486,0.2629006592194307,0.1428364128938144,-0.028622400259298846,-0.16794516945161583,-0.33272836153477436,0.018420527287995096,0.16868283429149242,0.21821789023599195,-1.4466894767122567e-16,2.654588425297224e-16
Ch12,0.11526815019549214,0.17057220201402537,0.1263840840697323,0.15101172147914446,0.43967794823794254,-0.3321484888068208,0.2496844499334029,-0.25192338551327703,-0.06347824280688386,0.07723080201800926,0.040548174978219824,0.20845395062364433,-0.06449832202052841,0.10632667248863607,0.047574181271674836,0.49988845883597255,-0.09530599347763347,0.06591909368626753,-0.014527502537216717,-0.03500608375387687,-0.23596937127312692,-0.07177578946035534,0.13596896332969544,-0.02701316142424918,-0.04117302450862312,-0.15289936879296037,0.04417348069285805,0.21153029906220996,-1.489693784995083e-16,-9.34037789289917e-17,5.337884016941711e-17
Ch13,0.1682380364455894,0.1325323263856616,0.3865399974771903,-0.2232827021832739,0.07331055755503582,-0.20303791322542,0.08768099684239086,0.11411457250537406,-0.2538133578446306,-0.06344562544145019,0.16442267250121023,0.2970124429301588,0.34433824033219007,0.13086586817608614,-0.11238511455997648,-0.3470722250740288,0.12194598711922527,-0.13829049431199114,-0.10157165510156034,-0.3001856190554031,0.15885116426055865,0.008657998884992545,-0.0013691614000975877,-0.19220733307400437,-0.13369699485611172,-0.07451995399530864,0.07246925336101238,-0.09856210079254987,-1.249000902703301e-16,2.2623552163849306e-16,7.194107123886143e-17
Ch14,-0.10083880214297763,0.20026963182729624,0.09937217763330468,0.12240560419185464,0.027754489560930205,0.4363537859184884,-0.29991759199566737,-0.11524177411030613,-0.3221828516426192,0.017161070720866405,0.32477567684021563,0.1075869784276925,0.10714670136801194,0.259101133506783,-0.06826519254903719,0.1250858103359615,0.06350701435549258,0.3923560929139245,-0.0786541742609895,-0.004251916785946833,0.02822535964720167,-0.1255379985267947,-0.06655249317679807,0.030891901446863067,0.2434258305205379,0.05296005858901261,-0.2489367681467916,0.015399957508243124,7.355227538141662e-16,-2.1579382964603205e-16,-9.439043226405403e-18
Ch15,0.33128987388959064,0.013711327119882658,-0.07761763342689884,0.0664713249896486,0.052093888836649664,0.03824679372970456,-0.09877416996868435,-0.09023449587199549,-0.008346296844095845,-0.0385763706497189,0.02906838629603853,-0.10226049976188313,0.05614301059763713,-0.0801401706892491,-0.09871671113151237,0.05208310690415652,-0.07791977414004425,0.12384471182944017,-0.041823368094542984,0.024468669269009223,0.13129985447286824,-0.04899716776923889,0.02472933378083513,-0.0016673294678431969,-0.17284391709005342,0.11771714764326371,0.17795314839138265,-0.11296603013887857,0.43643578047198406,-0.23721678514902161,0.6661292643650802
Ch16,0.09590831860123872,-0.1423060312844602,0.2942550118876982,0.15527737646259798,0.0009477830309792927,0.026359694599851158,-0.15586821829772113,-0.18112169267794373,0.13390729987308228,0.10391011467255747,-0.0619850902914762,-0.199647122021626,0.07037938339296312,-0.05390682684103771,-0.2006264457268231,0.009504858335423312,-0.04476738801682388,-0.007956542288523914,-0.04054325260636673,-0.10633933987177455,0.030129009484259377,-0.08031429127535074,-0.04410677794951577,0.16831737347927647,0.014079272495109065,-0.2495601806631538,0.08019868890956271,-0.1106561399082354,-0.218217890235992,0.6661292643650807,0.23721678514902192
Ch17,0.09590831860123872,-0.1423060312844602,0.2942550118876982,0.15527737646259798,0.0009477830309792927,0.026359694599851158,-0.15586821829772113,-0.18112169267794373,0.13390729987308228,0.10391011467255769,-0.061985090291475864,-0.19964712202162593,0.0703793833929629,-0.05390682684103782,-0.2006264457268228,0.009504858335423506,-0.0447673880168236,-0.007956542288524025,-0.04054325260636723,-0.10633933987177416,0.030129009484259433,-0.08031429127535082,-0.04410677794951605,0.1683173734792763,0.014079272495108205,-0.24956018066315447,0.0801986889095632,-0.11065613990823663,-0.21821789023599322,-0.66612926436508,-0.23721678514902145
Ch18,-0.33128987388959064,-0.013711327119882658,0.07761763342689884,-0.0664713249896486,-0.052093888836649664,-0.03824679372970467,0.09877416996868431,0.09023449587199552,0.008346296844095914,0.038576370649718916,-0.02906838629603853,0.10226049976188324,-0.05614301059763724,0.08014017068924899,0.09871671113151223,-0.05208310690415646,0.07791977414004395,-0.12384471182944022,0.04182336809454271,-0.024468669269009084,-0.13129985447286813,0.04899716776923914,-0.024729333780834906,0.0016673294678427805,0.17284391709005315,-0.11771714764326283,-0.17795314839138232,0.11296603013887807,-0.4364357804719846,-0.23721678514902128,0.6661292643650802
Ch19,-0.020554365906765085,-0.24708199092776106,0.04934504526463051,-0.11977493870253283,-0.3655268393193961,0.14902394427651736,0.4038014101467031,-0.07015127100034425,0.09637039729780773,0.007488542908690737,0.29280192499207636,-0.23170554436853066,-0.07354171685986023,0.48785351734905413,-0.027403203077715817,0.1875736843935304,-0.17262885978706843,-0.005547952479636138,-0.03572762318962888,-0.033020564804336426,0.04867459123440819,-0.1308685330640502,0.06770218768016871,-0.27367344039234365,-0.16428375331913267,-0.06050828067582126,0.07424173208834749,-0.05007138780580232,-9.540979117872439e-17,2.106396511907518e-16,4.81145586054127e-17
Ch20,0.08777111460465842,0.09400246463889161,-0.05599414497735182,-0.27903848216929245,-0.07549512536688668,-0.007182654018309278,0.16163632825469162,-0.19288408076873387,-0.06730162049731954,0.170473611859013,-0.07996639147068638,-0.18432271114275084,0.08689092107377212,0.03696718026849144,-0.25446819350811084,0.062027655226309146,0.04777591417348655,0.06796154853767562,0.3073003997307427,-0.2868134974460714,0.07627398646785286,0.2527656450227375,-0.2455554565314952,0.10540641784577971,0.3322489949185601,0.23655040215977266,0.23092677331897707,0.37083184042079015,6.245004513516506e-17,-5.448296848609881e-16,-1.6078653952930014e-16
