,Aau,Bas,Bpi,Dbu,Dwa,Fco,Fsi,Gul,His,Hel,Hhi,Hvi,Hfo,Hli,Hma,Hpa,Kho,Mco,Pph,Pac,Pla,Pse,Pal,Ssc,Sba,Sfo,Sgu,Sco,Spa,Sla,Sve,Svi,Tca,Win
Kho,0.6774193548387097,0.5483870967741935,0.5483870967741935,0.6129032258064516,0.6451612903225806,0.5483870967741935,0.5806451612903225,0.5483870967741935,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6774193548387097,0.6451612903225806,0.6129032258064516,0.5806451612903225,0.5806451612903225,1.0,0.5161290322580645,0.6129032258064516,0.6774193548387097,0.5806451612903225,0.6451612903225806,0.4516129032258065,0.6451612903225806,0.5483870967741935,0.5483870967741935,0.5806451612903225,0.5161290322580645,0.4838709677419355,0.5161290322580645,0.6129032258064516,0.5483870967741935,0.6451612903225806,0.4838709677419355
Mco,0.5806451612903225,0.6451612903225806,0.7096774193548387,0.5806451612903225,0.6129032258064516,0.3870967741935484,0.4193548387096774,0.7741935483870968,0.6129032258064516,0.6774193548387097,0.6129032258064516,0.6451612903225806,0.5483870967741935,0.5161290322580645,0.4838709677419355,0.4838709677419355,0.5161290322580645,1.0,0.9032258064516129,0.4516129032258065,0.6129032258064516,0.6129032258064516,0.3548387096774194,0.4838709677419355,0.4516129032258065,0.4516129032258065,0.3548387096774194,0.4193548387096774,0.3870967741935484,0.4193548387096774,0.3870967741935484,0.32258064516129037,0.6774193548387097,0.9032258064516129
Pph,0.6129032258064516,0.6129032258064516,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.3548387096774194,0.4516129032258065,0.8064516129032258,0.6451612903225806,0.7096774193548387,0.7096774193548387,0.7419354838709677,0.5806451612903225,0.5483870967741935,0.5161290322580645,0.5161290322580645,0.6129032258064516,0.9032258064516129,1.0,0.4838709677419355,0.6451612903225806,0.6451612903225806,0.32258064516129037,0.5806451612903225,0.4838709677419355,0.4838709677419355,0.3870967741935484,0.4516129032258065,0.4193548387096774,0.4516129032258065,0.4193548387096774,0.3548387096774194,0.7096774193548387,0.8064516129032258
Pac,0.8709677419354839,0.6774193548387097,0.6774193548387097,0.7419354838709677,0.7096774193548387,0.5483870967741935,0.5806451612903225,0.6129032258064516,0.5161290322580645,0.5161290322580645,0.5806451612903225,0.5483870967741935,0.5806451612903225,0.5483870967741935,0.5161290322580645,0.5161290322580645,0.6774193548387097,0.4516129032258065,0.4838709677419355,1.0,0.7741935483870968,0.8387096774193549,0.5806451612903225,0.5161290322580645,0.5483870967741935,0.5483870967741935,0.5806451612903225,0.5161290322580645,0.4838709677419355,0.5161290322580645,0.6129032258064516,0.6129032258064516,0.7096774193548387,0.4838709677419355
Pla,0.7096774193548387,0.5161290322580645,0.5161290322580645,0.6451612903225806,0.6774193548387097,0.3870967741935484,0.4193548387096774,0.7741935483870968,0.6129032258064516,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.6129032258064516,0.6451612903225806,0.5483870967741935,0.5483870967741935,0.5806451612903225,0.6129032258064516,0.6451612903225806,0.7741935483870968,1.0,0.935483870967742,0.6129032258064516,0.5483870967741935,0.5161290322580645,0.5161290322580645,0.5483870967741935,0.4838709677419355,0.5161290322580645,0.6129032258064516,0.5161290322580645,0.3870967741935484,0.7419354838709677,0.6451612903225806
Pse,0.7741935483870968,0.5806451612903225,0.5806451612903225,0.6451612903225806,0.6774193548387097,0.3870967741935484,0.4193548387096774,0.7741935483870968,0.6129032258064516,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.6774193548387097,0.7096774193548387,0.6129032258064516,0.6129032258064516,0.6451612903225806,0.6129032258064516,0.6451612903225806,0.8387096774193549,0.935483870967742,1.0,0.6129032258064516,0.6129032258064516,0.5806451612903225,0.5806451612903225,0.6129032258064516,0.5483870967741935,0.5806451612903225,0.6129032258064516,0.5806451612903225,0.4516129032258065,0.7419354838709677,0.6451612903225806
Pal,0.5161290322580645,0.32258064516129037,0.32258064516129037,0.4516129032258065,0.4193548387096774,0.7096774193548387,0.6774193548387097,0.3870967741935484,0.3548387096774194,0.4193548387096774,0.4193548387096774,0.3870967741935484,0.7419354838709677,0.7741935483870968,0.7419354838709677,0.7419354838709677,0.4516129032258065,0.3548387096774194,0.32258064516129037,0.5806451612903225,0.6129032258064516,0.6129032258064516,1.0,0.7419354838709677,0.7096774193548387,0.7096774193548387,0.7419354838709677,0.6774193548387097,0.7096774193548387,0.8064516129032258,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.32258064516129037
Ssc,0.5161290322580645,0.3870967741935484,0.3870967741935484,0.4516129032258065,0.4838709677419355,0.6451612903225806,0.6774193548387097,0.4516129032258065,0.4193548387096774,0.4838709677419355,0.4838709677419355,0.5161290322580645,0.8709677419354839,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.6451612903225806,0.4838709677419355,0.5806451612903225,0.5161290322580645,0.5483870967741935,0.6129032258064516,0.7419354838709677,1.0,0.8387096774193549,0.8387096774193549,0.8064516129032258,0.8064516129032258,0.8387096774193549,0.8709677419354839,0.7741935483870968,0.6451612903225806,0.6129032258064516,0.3870967741935484
Sba,0.4838709677419355,0.4193548387096774,0.4193548387096774,0.4193548387096774,0.4516129032258065,0.6774193548387097,0.7741935483870968,0.4838709677419355,0.3870967741935484,0.4516129032258065,0.4516129032258065,0.4838709677419355,0.7096774193548387,0.6774193548387097,0.7096774193548387,0.7096774193548387,0.5483870967741935,0.4516129032258065,0.4838709677419355,0.5483870967741935,0.5161290322580645,0.5806451612903225,0.7096774193548387,0.8387096774193549,1.0,0.8064516129032258,0.9032258064516129,0.9032258064516129,0.8709677419354839,0.9032258064516129,0.935483870967742,0.8064516129032258,0.5806451612903225,0.4193548387096774
Sfo,0.5483870967741935,0.4193548387096774,0.4193548387096774,0.4193548387096774,0.4516129032258065,0.6774193548387097,0.7096774193548387,0.4193548387096774,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.4193548387096774,0.7096774193548387,0.6774193548387097,0.7741935483870968,0.7741935483870968,0.5483870967741935,0.4516129032258065,0.4838709677419355,0.5483870967741935,0.5161290322580645,0.5806451612903225,0.7096774193548387,0.8387096774193549,0.8064516129032258,1.0,0.8387096774193549,0.8387096774193549,0.8064516129032258,0.8387096774193549,0.8064516129032258,0.7419354838709677,0.5806451612903225,0.3548387096774194
